**ACTUATORS**
Actuator,Surface,Construction State,ZONE 5 FLOOR,[ ]
Actuator,Surface,Construction State,ZONE 5 ROOF,[ ]
Actuator,Surface,Construction State,ZONE 5 WINDOW SOUTH,[ ]
Actuator,Surface,View Factor To Ground,ZONE 1 WALL SOUTH,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 1 WALL SOUTH,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 1 WALL SOUTH,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 1 WALL SOUTH,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 1 WALL SOUTH,[degree]
Actuator,Surface,View Factor To Ground,ZONE 1 WALL NORTH,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 1 WALL NORTH,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 1 WALL NORTH,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 1 WALL NORTH,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 1 WALL NORTH,[degree]
Actuator,Surface,View Factor To Ground,ZONE 1 WALL WEST,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 1 WALL WEST,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 1 WALL WEST,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 1 WALL WEST,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 1 WALL WEST,[degree]
Actuator,Surface,View Factor To Ground,ZONE 1 ROOF,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 1 ROOF,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 1 ROOF,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 1 ROOF,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 1 ROOF,[degree]
Actuator,Surface,View Factor To Ground,ZONE 1 WINDOW SOUTH,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 1 WINDOW SOUTH,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 1 WINDOW SOUTH,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 1 WINDOW SOUTH,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 1 WINDOW SOUTH,[degree]
